Species,Temperature (°C),Soil Moisture (%),Altitude (m),Soil pH,Light Hours,Germination Rate (%)
Brassica juncea,30.78,66.74,2237,7.86,13.76,0.24
Brassica juncea,22.02,67.18,1249,5.95,12.48,14.6
Brassica juncea,17.42,72.29,2206,7.77,8.31,0.0
Brassica juncea,16.98,50.71,437,6.65,15.77,0.02
Brassica juncea,33.41,74.43,3319,6.87,9.35,0.01
Brassica juncea,19.61,77.88,2807,6.49,14.98,3.26
Brassica juncea,22.05,54.83,897,7.43,10.28,0.16
Brassica juncea,28.15,73.01,2587,6.65,12.73,20.57
Brassica juncea,27.51,63.96,2023,6.9,12.69,20.65
Brassica juncea,33.14,42.92,2105,6.02,15.13,0.01
Brassica juncea,27.04,73.05,2294,7.63,9.59,0.36
Brassica juncea,31.41,40.65,1978,5.69,13.5,0.01
Brassica juncea,32.79,84.98,1906,6.43,11.38,1.18
Brassica juncea,31.73,79.36,401,5.75,9.12,0.07
Brassica juncea,26.87,65.3,1151,6.44,14.3,50.22
Brassica juncea,32.2,75.44,778,6.18,8.05,0.05
Brassica juncea,27.9,57.0,543,6.85,15.51,4.16
Brassica juncea,30.79,59.03,248,5.89,10.33,0.15
Brassica juncea,17.05,90.4,2485,6.86,12.77,0.17
Brassica juncea,28.29,51.83,1538,6.78,12.5,2.86
Brassica juncea,32.49,76.47,3086,7.06,15.31,0.39
Brassica juncea,33.87,78.82,310,7.87,12.7,0.01
Brassica juncea,28.86,81.87,2179,7.41,10.83,1.59
Brassica juncea,33.04,67.02,1920,6.33,15.54,1.88
Brassica juncea,29.0,93.92,3458,7.51,15.05,0.05
Brassica juncea,30.32,76.89,1721,5.52,9.29,0.24
Brassica juncea,16.41,92.79,235,6.08,10.62,0.01
Brassica juncea,31.86,56.96,2870,5.76,10.22,0.03
Brassica juncea,29.56,49.56,1148,7.41,12.04,0.17
Brassica juncea,25.51,84.75,822,5.81,14.28,16.69
Brassica juncea,21.56,55.4,1861,6.46,14.51,5.39
Brassica juncea,33.39,81.31,1118,6.92,12.75,1.33
Brassica juncea,29.57,51.33,1129,6.45,13.51,2.1
Brassica juncea,15.93,68.17,490,5.69,13.78,0.06
Brassica juncea,16.46,69.6,2258,7.78,10.03,0.0
Brassica juncea,21.76,52.44,3259,6.41,9.86,0.04
Brassica juncea,32.74,44.06,603,7.02,10.35,0.0
Brassica juncea,17.05,74.78,624,6.91,9.98,0.1
Brassica juncea,18.75,62.32,502,5.86,9.64,0.07
Brassica juncea,25.17,45.48,1812,6.25,14.96,0.93
Brassica juncea,26.84,94.04,1912,7.2,15.62,3.48
Brassica juncea,27.74,77.76,1407,6.89,12.16,34.94
Brassica juncea,27.2,77.97,756,7.39,8.76,0.35
Brassica juncea,33.24,62.43,1521,6.95,13.72,1.08
Brassica juncea,19.36,54.36,2025,6.5,10.46,0.25
Brassica juncea,15.39,61.91,2495,6.96,8.61,0.0
Brassica juncea,33.7,71.93,1462,5.82,8.73,0.03
Brassica juncea,25.59,79.66,3019,5.68,12.56,2.94
Brassica juncea,15.65,47.68,386,7.42,14.15,0.0
Brassica juncea,32.38,55.63,3037,6.99,10.03,0.02
Brassica juncea,29.31,52.05,3418,6.49,11.99,0.11
Brassica juncea,22.96,71.27,3470,7.22,9.94,0.14
Brassica juncea,15.51,40.35,1349,7.16,11.2,0.0
Brassica juncea,23.88,61.91,822,6.92,12.45,13.24
Brassica juncea,32.86,54.88,773,5.9,12.6,0.17
Brassica juncea,30.47,58.88,965,7.72,10.07,0.04
Brassica juncea,24.12,49.75,1281,6.87,11.37,1.15
Brassica juncea,30.36,57.87,2981,6.0,11.34,0.28
Brassica juncea,18.14,46.83,2332,5.55,15.92,0.01
Brassica juncea,20.96,49.72,2025,6.58,13.59,1.02
Brassica juncea,28.07,52.09,3072,5.97,13.3,0.39
Brassica juncea,32.93,92.94,1107,6.09,11.62,0.29
Brassica juncea,31.76,87.35,2749,7.2,10.1,0.09
Brassica juncea,30.44,85.15,753,6.77,8.28,0.15
Brassica juncea,34.65,79.76,3354,5.54,11.17,0.0
Brassica juncea,15.55,88.08,2326,7.51,9.32,0.0
Brassica juncea,28.87,64.24,2749,6.71,9.3,0.51
Brassica juncea,30.16,59.99,3152,5.83,9.35,0.03
Brassica juncea,33.13,71.8,455,6.14,14.5,1.19
Brassica juncea,30.71,54.17,2980,6.27,15.08,0.36
Brassica juncea,16.5,86.94,2590,6.11,14.32,0.16
Brassica juncea,15.67,72.81,1257,6.39,8.96,0.02
Brassica juncea,29.65,88.49,706,7.58,14.81,0.85
Brassica juncea,22.92,88.11,383,6.9,15.23,6.62
Brassica juncea,18.4,79.91,1252,6.89,9.11,0.19
Brassica juncea,22.24,50.98,2467,7.99,11.04,0.01
Brassica juncea,31.16,86.93,2108,5.89,14.07,2.94
Brassica juncea,32.3,93.64,468,7.21,10.41,0.04
Brassica juncea,17.51,52.82,3501,6.4,15.87,0.01
Brassica juncea,18.37,74.68,3306,6.05,15.77,0.21
Brassica juncea,24.14,73.85,3484,7.52,13.19,0.48
Brassica juncea,28.25,89.96,3019,7.39,10.07,0.1
Brassica juncea,16.75,48.29,1892,7.15,9.59,0.0
Brassica juncea,30.17,55.32,878,7.18,8.55,0.03
Brassica juncea,25.27,79.37,441,7.28,14.62,10.66
Brassica juncea,17.35,47.7,503,7.02,14.56,0.02
Brassica juncea,17.54,91.99,756,6.09,10.13,0.05
Brassica juncea,30.59,54.93,2786,7.2,10.99,0.11
Brassica juncea,33.75,56.99,2760,7.76,10.87,0.0
Brassica juncea,29.71,56.11,471,5.67,15.35,0.55
Brassica juncea,20.34,94.15,1681,7.19,9.9,0.17
Brassica juncea,19.73,56.67,800,7.44,15.44,0.26
Brassica juncea,23.89,94.14,3478,6.6,15.89,0.41
Brassica juncea,27.37,85.03,1970,7.64,12.81,2.61
Brassica juncea,21.17,57.37,3405,6.5,10.16,0.07
Brassica juncea,16.95,88.0,2723,7.29,9.22,0.0
Brassica juncea,19.39,47.17,2491,7.5,11.69,0.01
Brassica juncea,29.31,72.2,225,7.68,11.1,0.26
Brassica juncea,19.43,57.15,3408,7.93,14.82,0.0
Brassica juncea,16.02,42.75,1732,5.54,12.9,0.0
Brassica juncea,28.28,41.06,2499,6.36,10.07,0.01
Brassica juncea,22.3,48.71,932,7.52,11.05,0.06
Brassica juncea,21.03,60.85,2651,7.18,11.5,0.79
Brassica juncea,15.84,69.05,1668,7.53,11.23,0.02
Brassica juncea,29.95,72.87,2599,5.66,15.6,2.27
Brassica juncea,25.52,53.05,700,7.92,15.62,0.07
Brassica juncea,34.16,56.75,1037,7.32,8.85,0.0
Brassica juncea,27.67,61.35,1800,5.61,10.53,1.28
Brassica juncea,29.75,78.97,901,7.34,13.28,5.86
Brassica juncea,28.9,59.43,1423,6.36,12.31,10.52
Brassica juncea,27.17,76.44,1499,6.92,10.55,13.36
Brassica juncea,32.19,93.09,1447,7.39,15.5,0.25
Brassica juncea,17.5,79.33,1324,6.17,10.48,0.44
Brassica juncea,19.53,65.86,2815,6.9,14.35,1.68
Brassica juncea,18.42,76.71,2892,5.98,13.0,0.69
Brassica juncea,22.42,48.9,453,7.5,10.76,0.03
Brassica juncea,17.77,43.15,1053,6.98,14.56,0.01
Brassica juncea,32.97,89.04,2445,5.86,9.34,0.02
Brassica juncea,31.76,46.81,2129,6.3,13.57,0.14
Brassica juncea,19.77,47.85,2905,7.96,11.23,0.0
Brassica juncea,31.05,56.2,2371,7.05,11.55,0.44
Brassica juncea,29.13,54.56,3009,6.34,13.67,0.94
Brassica juncea,20.46,45.55,1138,6.05,12.61,0.15
Brassica juncea,29.67,54.36,2352,7.22,12.89,0.77
Brassica juncea,16.32,44.17,860,5.91,13.96,0.0
Brassica juncea,23.93,59.02,1936,6.22,10.9,5.4
Brassica juncea,22.37,40.97,1606,5.7,15.85,0.03
Brassica juncea,16.87,78.54,3152,7.46,9.49,0.0
Brassica juncea,34.81,40.44,2427,7.47,9.48,0.0
Brassica juncea,23.27,72.83,2970,5.99,10.2,1.34
Brassica juncea,33.82,64.23,3571,7.82,11.99,0.0
Brassica juncea,23.47,50.2,2632,6.72,13.27,1.15
Brassica juncea,31.96,73.09,1279,5.62,12.72,1.59
Brassica juncea,33.08,46.57,225,6.57,13.5,0.02
Brassica juncea,26.12,45.7,3572,7.07,11.35,0.01
Brassica juncea,21.06,43.59,3560,6.68,14.96,0.01
Brassica juncea,30.75,90.74,639,7.65,11.42,0.11
Brassica juncea,31.5,50.27,3304,5.63,15.73,0.01
Brassica juncea,31.85,41.94,552,6.58,10.74,0.01
Brassica juncea,19.04,70.82,929,5.78,10.89,0.74
Brassica juncea,32.02,87.09,3014,6.79,15.25,0.53
Brassica juncea,33.18,69.41,1397,6.11,14.87,2.15
Brassica juncea,24.39,68.43,403,6.91,10.33,3.88
Brassica juncea,33.11,90.82,1376,5.71,10.86,0.09
Brassica juncea,18.07,69.7,385,5.78,9.87,0.06
Brassica juncea,32.42,90.56,959,5.83,12.86,0.58
Brassica juncea,22.75,48.33,2853,7.21,13.61,0.16
Brassica juncea,25.49,58.34,2263,7.4,11.97,1.84
Brassica juncea,16.97,94.46,789,5.9,13.78,0.09
Brassica juncea,29.87,75.31,972,7.7,14.61,1.47
Brassica juncea,25.45,70.09,1133,6.39,13.79,77.63
Brassica juncea,22.11,66.42,2570,5.8,9.81,0.63
Brassica juncea,26.28,75.88,1883,6.91,8.41,1.24
Brassica juncea,22.05,74.02,1860,7.77,12.91,1.62
Brassica juncea,25.42,60.11,909,6.59,9.19,1.37
Brassica juncea,30.77,48.96,1828,6.63,11.44,0.28
Brassica juncea,32.76,91.98,1536,6.04,9.15,0.04
Brassica juncea,22.44,75.91,1749,7.09,10.1,4.25
Brassica juncea,33.04,94.54,2585,5.97,13.33,0.13
Brassica juncea,22.72,91.79,2710,6.34,12.43,3.52
Brassica juncea,19.63,94.58,2261,7.92,9.97,0.0
Brassica juncea,26.72,63.54,460,7.82,10.91,0.19
Brassica juncea,18.98,56.82,1549,7.44,15.48,0.23
Brassica juncea,28.31,89.11,2707,5.79,11.2,1.04
Brassica juncea,30.02,56.91,2036,6.11,9.15,0.2
Brassica juncea,18.45,86.26,3285,6.12,15.32,0.17
Brassica juncea,20.03,83.08,2393,7.38,11.97,0.92
Brassica juncea,31.74,80.86,1439,7.84,15.86,0.17
Brassica juncea,31.16,69.32,2612,7.5,10.96,0.24
Brassica juncea,15.34,71.65,1940,7.27,14.55,0.08
Brassica juncea,28.05,93.98,1890,7.84,8.61,0.01
Brassica juncea,18.65,93.97,1859,6.91,9.07,0.04
Brassica juncea,17.31,87.88,1111,7.08,12.49,0.36
Brassica juncea,30.02,92.2,616,7.33,10.03,0.14
Brassica juncea,22.89,63.21,1892,6.89,8.93,0.89
Brassica juncea,23.4,63.99,2141,5.76,9.74,1.06
Brassica juncea,22.31,90.57,2045,7.76,11.63,0.28
Brassica juncea,15.42,68.85,1665,7.06,14.98,0.14
Brassica juncea,18.87,57.96,2553,6.73,8.47,0.02
Brassica juncea,34.59,47.63,727,6.94,15.95,0.01
Brassica juncea,22.96,68.84,3508,6.88,15.88,1.2
Brassica juncea,19.61,72.53,807,7.21,12.07,2.21
Brassica juncea,22.23,50.15,2985,7.03,14.66,0.24
Brassica juncea,21.58,64.47,1545,6.54,11.76,13.0
Brassica juncea,21.83,51.03,862,6.36,13.88,1.87
Brassica juncea,18.62,65.68,1336,6.53,9.65,0.43
Brassica juncea,26.36,74.72,2661,6.06,11.34,9.33
Brassica juncea,21.95,51.48,2351,7.73,8.97,0.0
Brassica juncea,21.48,65.17,1407,7.71,11.93,0.78
Brassica juncea,19.7,70.18,2204,7.27,10.4,0.55
Brassica juncea,30.53,94.84,1112,6.83,15.87,1.58
Brassica juncea,24.55,62.64,259,7.14,13.09,5.24
Brassica juncea,22.58,77.91,720,7.78,13.16,1.31
Brassica juncea,34.87,74.72,1796,7.88,11.9,0.01
Brassica juncea,28.07,77.62,1683,6.81,11.84,30.1
Brassica juncea,28.95,92.04,2577,5.87,15.44,1.69
Brassica juncea,26.66,80.08,1952,6.94,14.74,43.75
Brassica juncea,23.34,50.37,551,7.85,9.33,0.0
Brassica juncea,27.5,85.89,2517,6.77,11.99,10.23
Brassica juncea,20.43,53.93,1221,5.86,14.23,1.09
Brassica juncea,34.88,72.19,2637,7.01,9.97,0.02
Brassica juncea,33.05,48.35,2179,7.31,14.84,0.02
Brassica juncea,24.43,61.24,3108,6.84,10.83,1.09
Brassica juncea,24.17,85.76,2028,6.48,10.6,9.62
Brassica juncea,15.97,71.7,333,6.42,11.49,0.1
Brassica juncea,22.87,92.52,2962,5.59,14.9,0.47
Brassica juncea,21.37,80.9,2273,6.57,8.81,0.7
Brassica juncea,23.5,79.68,771,6.28,11.72,22.4
Brassica juncea,26.87,77.36,3295,7.39,10.47,0.31
Brassica juncea,24.49,54.29,2728,7.09,14.99,1.51
Brassica juncea,24.72,74.46,1455,6.7,10.59,20.72
Brassica juncea,22.58,53.22,1831,6.13,11.3,1.62
Brassica juncea,23.81,55.43,2042,6.48,9.2,0.56
Brassica juncea,28.66,58.1,2880,7.83,12.93,0.08
Brassica juncea,18.76,50.99,2580,6.74,15.49,0.12
Brassica juncea,34.16,77.83,2038,6.2,8.02,0.01
Brassica juncea,30.17,88.92,848,7.73,11.5,0.18
Brassica juncea,16.75,53.73,987,6.06,13.52,0.08
Brassica juncea,29.24,60.1,1254,6.09,10.93,3.21
Brassica juncea,21.89,57.25,1533,6.2,11.75,4.44
Brassica juncea,33.0,73.84,1770,7.01,12.01,1.51
Brassica juncea,15.47,44.4,1838,7.21,12.29,0.0
Brassica juncea,24.34,76.4,2736,6.53,13.76,27.56
Brassica juncea,33.99,56.43,2638,5.59,10.52,0.01
Brassica juncea,26.23,84.04,752,5.6,10.11,1.26
Brassica juncea,27.48,86.74,486,5.96,8.73,0.31
Brassica juncea,18.97,46.73,878,6.33,12.55,0.09
Brassica juncea,22.25,91.88,504,7.52,12.73,0.62
Brassica juncea,19.01,80.33,3065,6.7,15.23,0.94
Brassica juncea,28.74,59.92,587,5.78,10.11,0.5
Brassica juncea,22.79,76.34,964,5.8,10.35,3.79
Brassica juncea,24.13,43.41,1043,6.71,12.52,0.36
Brassica juncea,17.85,89.52,1724,5.91,9.84,0.07
Brassica juncea,16.5,83.57,455,5.79,12.24,0.08
Brassica juncea,25.66,56.37,3307,7.86,8.9,0.0
Brassica juncea,25.83,55.56,878,6.04,11.28,2.89
Brassica juncea,19.58,60.98,653,7.2,11.09,0.4
Brassica juncea,22.88,76.2,401,6.36,8.39,0.5
Brassica juncea,24.4,68.0,1335,6.6,11.66,35.43
Brassica juncea,34.31,40.03,2406,7.33,15.06,0.0
Brassica juncea,33.42,92.64,291,6.69,12.95,0.17
Brassica juncea,29.37,89.77,2147,6.09,15.92,4.76
Brassica juncea,32.75,87.82,2583,6.65,13.53,0.88
Brassica juncea,23.68,68.25,860,7.02,15.29,22.81
Brassica juncea,19.08,87.37,410,6.9,8.85,0.05
Brassica juncea,32.41,40.16,1957,5.89,8.44,0.0
Brassica juncea,17.67,40.71,2650,6.25,15.77,0.0
Brassica juncea,20.91,75.13,2353,6.74,10.51,3.43
Brassica juncea,30.75,85.46,371,6.98,14.95,2.6
Brassica juncea,18.75,52.46,2362,5.96,10.38,0.04
Brassica juncea,34.13,80.01,3010,6.48,9.42,0.02
Brassica juncea,25.43,65.02,3253,7.9,9.52,0.01
Brassica juncea,33.54,53.04,379,7.37,11.07,0.01
Brassica juncea,17.4,71.67,1789,7.68,13.88,0.14
Brassica juncea,33.69,69.99,1460,6.39,12.45,1.53
Brassica juncea,28.17,59.17,988,5.9,14.15,7.58
Brassica juncea,15.33,73.97,2726,6.19,14.79,0.08
Brassica juncea,21.75,69.57,368,7.84,10.21,0.07
Brassica juncea,30.86,84.76,1604,5.81,8.72,0.15
Brassica juncea,30.17,80.98,2322,5.63,10.35,0.62
Brassica juncea,20.71,77.2,2592,7.83,11.8,0.17
Brassica juncea,15.52,50.38,2845,6.66,12.24,0.0
Brassica juncea,30.55,42.12,2952,7.42,10.84,0.0
Brassica juncea,23.59,43.26,2209,6.46,8.25,0.01
Brassica juncea,25.8,76.22,1515,6.95,10.3,11.85
Brassica juncea,33.01,93.2,1698,7.88,14.82,0.02
Brassica juncea,25.69,64.93,975,5.8,15.69,12.77
Brassica juncea,17.22,79.32,3123,5.85,13.07,0.1
Brassica juncea,33.35,69.64,3583,7.61,13.6,0.01
Brassica juncea,33.02,64.18,2338,7.4,9.49,0.02
Brassica juncea,26.72,74.8,2935,5.6,14.2,3.59
Brassica juncea,25.84,49.4,1462,5.58,10.62,0.17
Brassica juncea,23.09,41.89,1787,5.91,14.8,0.13
Brassica juncea,17.48,90.16,1223,6.59,13.08,0.74
Brassica juncea,25.43,49.42,1016,6.18,11.71,1.34
Brassica juncea,19.68,77.14,1984,7.31,10.94,1.04
Brassica juncea,31.86,92.15,1591,6.83,10.9,0.59
Brassica juncea,29.42,52.98,3373,5.87,11.9,0.06
Brassica juncea,32.58,64.7,926,5.57,12.15,0.32
Brassica juncea,15.04,76.36,3022,5.82,12.53,0.01
Brassica juncea,33.7,72.06,3383,7.88,10.24,0.0
Brassica juncea,20.33,41.16,3529,7.18,10.73,0.0
Brassica juncea,28.92,88.25,2082,6.01,14.58,9.83
Brassica juncea,21.68,62.49,3096,6.52,14.89,2.51
Brassica juncea,20.28,94.09,808,6.49,9.66,0.23
Brassica juncea,18.22,40.77,1795,6.43,14.16,0.01
Brassica juncea,19.11,88.81,3220,7.6,15.14,0.03
Brassica juncea,25.5,53.86,2521,7.76,13.32,0.19
Brassica juncea,34.37,81.22,3398,6.84,13.53,0.05
Brassica juncea,18.24,43.14,700,7.81,8.85,0.0
Brassica juncea,15.65,86.08,1518,7.45,10.92,0.01
Brassica juncea,21.76,89.8,2178,6.98,11.67,3.44
Brassica juncea,16.94,45.85,282,7.43,12.4,0.0
Brassica juncea,30.25,47.4,676,7.81,9.32,0.0
Brassica juncea,33.49,40.72,1566,6.01,12.02,0.0
Brassica juncea,16.72,77.53,1430,5.87,15.4,0.46
Brassica juncea,29.65,59.53,1993,7.4,9.19,0.11
Brassica juncea,33.65,80.77,3168,6.32,9.62,0.02
Brassica juncea,24.96,68.73,944,6.76,15.69,38.81
Brassica juncea,18.04,49.84,2688,7.23,9.22,0.0
Brassica juncea,18.93,85.7,883,6.27,8.68,0.1
Brassica juncea,21.88,47.56,2781,5.62,15.81,0.04
Brassica juncea,15.73,78.19,717,6.44,14.8,0.27
Brassica juncea,19.0,80.64,1259,6.91,12.36,4.01
Brassica juncea,17.42,46.51,1822,6.83,15.81,0.02
Brassica juncea,17.58,74.77,2716,5.76,11.65,0.16
Brassica juncea,20.41,91.11,1259,7.64,10.27,0.08
Brassica juncea,18.71,68.96,2869,6.58,13.6,1.43
Brassica juncea,34.13,91.28,317,7.36,11.03,0.01
Brassica juncea,22.37,91.61,2462,6.37,8.15,0.09
Brassica juncea,25.74,54.39,2307,6.12,14.84,4.89
Brassica juncea,34.84,73.85,1493,7.04,12.73,0.36
Brassica juncea,25.08,70.46,915,5.62,15.53,10.77
Brassica juncea,21.16,55.43,1015,6.41,13.8,4.21
Brassica juncea,34.73,45.65,359,5.53,9.24,0.0
Brassica juncea,33.79,59.91,2452,7.26,13.07,0.1
Brassica juncea,25.7,49.62,2584,6.07,12.05,0.68
Brassica juncea,19.19,84.54,1645,7.34,14.38,1.65
Brassica juncea,17.32,89.75,3196,7.42,11.03,0.01
Brassica juncea,19.48,56.43,407,6.89,9.77,0.07
Brassica juncea,22.37,77.09,622,6.54,11.89,17.78
Brassica juncea,33.4,52.33,214,6.28,9.56,0.01
Brassica juncea,20.22,61.85,1385,5.51,14.19,1.26
Brassica juncea,26.13,79.52,2074,6.73,9.08,2.97
Brassica juncea,28.45,55.87,2806,7.35,11.86,0.35
Brassica juncea,25.4,88.01,1170,7.03,8.34,0.41
Brassica juncea,17.59,59.24,1863,6.48,11.88,0.46
Brassica juncea,29.3,69.47,3443,7.98,15.51,0.02
Brassica juncea,24.55,70.46,2476,5.7,12.23,7.67
Brassica juncea,24.59,52.94,1834,7.11,8.76,0.12
Brassica juncea,31.79,64.26,2454,6.96,12.92,1.73
Brassica juncea,22.61,92.26,2755,7.68,10.56,0.06
Brassica juncea,26.13,82.97,3575,7.48,8.69,0.01
Brassica juncea,29.68,52.07,1287,5.92,11.45,0.59
Brassica juncea,32.77,86.26,3280,7.44,13.74,0.04
Brassica juncea,29.0,90.64,1764,7.84,8.19,0.01
Brassica juncea,21.11,71.46,631,6.05,8.12,0.16
Brassica juncea,27.62,74.19,429,6.92,12.41,16.38
Brassica juncea,31.4,48.63,1159,6.71,8.13,0.01
Brassica juncea,17.45,54.54,1716,6.24,9.42,0.02
Brassica juncea,31.16,56.42,2484,6.47,15.35,1.12
Brassica juncea,22.19,52.05,1707,7.31,15.41,0.79
Brassica juncea,32.6,64.41,1641,5.89,11.24,0.63
Brassica juncea,31.4,64.39,857,6.73,12.69,4.33
Brassica juncea,31.0,75.89,2775,7.03,10.46,0.62
Brassica juncea,16.87,53.45,2185,6.52,9.45,0.01
Brassica juncea,19.38,57.05,1503,6.09,8.13,0.02
Brassica juncea,15.09,72.12,396,6.58,13.73,0.09
Brassica juncea,24.88,75.38,2999,6.42,8.39,0.33
Brassica juncea,18.52,70.37,2129,7.51,10.37,0.11
Brassica juncea,21.3,47.23,2066,5.96,8.11,0.0
Brassica juncea,20.77,71.19,3366,6.3,15.53,1.21
Brassica juncea,33.08,94.6,2332,6.8,8.73,0.01
Brassica juncea,20.66,42.41,1313,6.41,12.13,0.08
Brassica juncea,33.21,92.39,2721,5.5,10.04,0.0
Brassica juncea,20.95,63.06,3305,5.57,10.01,0.03
Brassica juncea,20.18,40.91,2661,5.86,14.24,0.01
Brassica juncea,24.12,41.33,2434,6.11,15.76,0.08
Brassica juncea,15.84,67.17,1011,7.27,10.16,0.02
Brassica juncea,28.17,93.78,772,6.16,10.61,1.44
Brassica juncea,32.32,80.6,3319,6.89,11.94,0.21
Brassica juncea,31.74,52.98,2104,6.35,8.97,0.03
Brassica juncea,23.1,78.4,2201,6.48,12.89,40.02
Brassica juncea,21.83,74.46,326,7.43,9.49,0.22
Brassica juncea,30.12,62.39,1590,7.96,11.14,0.07
Brassica juncea,17.78,80.33,3161,6.19,9.29,0.02
Brassica juncea,21.6,69.62,1662,5.96,15.95,12.67
Brassica juncea,28.03,43.32,1955,7.9,12.04,0.0
Brassica juncea,30.4,57.12,738,5.6,13.38,0.65
Brassica juncea,17.58,72.12,1023,7.71,9.28,0.01
Brassica juncea,17.03,42.66,3508,7.7,13.49,0.0
Brassica juncea,19.14,55.0,981,5.96,8.45,0.01
Brassica juncea,25.12,90.59,1182,6.23,8.8,0.8
Brassica juncea,21.86,87.37,3048,7.28,8.15,0.01
Brassica juncea,23.94,48.23,531,7.85,10.17,0.0
Brassica juncea,25.17,83.38,3327,6.45,10.4,1.02
Brassica juncea,32.28,64.72,3186,6.99,8.44,0.01
Brassica juncea,16.82,71.6,315,5.96,9.81,0.03
Brassica juncea,15.34,91.76,975,7.27,11.91,0.01
Brassica juncea,32.97,77.72,2750,6.04,12.35,0.59
Brassica juncea,16.33,70.53,980,7.95,14.83,0.01
Brassica juncea,19.45,72.76,523,6.74,14.88,4.92
Brassica juncea,34.16,81.25,1567,7.17,8.99,0.02
Brassica juncea,15.68,50.82,2222,6.81,14.56,0.01
Brassica juncea,31.69,80.62,768,7.67,12.18,0.28
Brassica juncea,18.26,47.81,1207,5.73,8.68,0.0
Brassica juncea,25.27,51.8,1146,6.73,9.64,0.51
Brassica juncea,21.68,93.13,796,5.8,11.64,1.08
Brassica juncea,30.36,54.31,2809,7.38,14.64,0.17
Brassica juncea,31.86,83.18,1970,6.96,9.32,0.27
Brassica juncea,22.89,73.24,379,6.24,15.6,16.1
Brassica juncea,19.62,68.59,1892,6.61,12.04,6.37
Brassica juncea,19.89,89.29,1268,6.49,13.68,5.91
Brassica juncea,15.07,94.77,2224,6.78,14.77,0.02
Brassica juncea,26.7,51.06,2059,5.86,9.82,0.21
Brassica juncea,30.09,48.3,3002,5.91,10.37,0.01
Brassica juncea,34.59,45.59,3405,6.06,15.68,0.0
Brassica juncea,18.88,78.01,418,7.8,15.44,0.09
Brassica juncea,26.81,87.45,3500,6.07,14.24,1.27
Brassica juncea,19.08,82.06,2090,5.66,15.45,1.12
Brassica juncea,21.65,48.2,1770,7.19,15.23,0.36
Brassica juncea,27.65,49.97,1964,7.8,9.45,0.01
Brassica juncea,15.49,65.93,1643,7.51,15.51,0.02
Brassica juncea,28.34,47.91,2164,7.64,14.3,0.08
Brassica juncea,31.53,49.01,357,7.37,11.84,0.02
Brassica juncea,19.37,54.23,817,6.09,11.09,0.25
Brassica juncea,28.74,84.45,675,7.35,12.22,3.36
Brassica juncea,21.04,54.23,2216,7.44,10.87,0.13
Brassica juncea,33.05,86.12,3250,7.93,15.1,0.0
Brassica juncea,31.06,68.24,1486,7.97,8.71,0.01
Brassica juncea,19.92,82.9,928,7.55,15.68,0.79
Brassica juncea,22.48,62.66,1412,6.69,9.44,1.94
Brassica juncea,26.1,64.71,1449,6.65,11.98,33.01
Brassica juncea,16.43,79.04,528,7.87,8.55,0.0
Brassica juncea,34.66,82.53,2172,6.58,14.78,0.46
Brassica juncea,21.63,41.52,3437,5.65,11.26,0.0
