Species,Temperature (°C),Soil Moisture (%),Altitude (m),Soil pH,Light Hours,Germination Rate (%)
Oryza sativa,33.25,90.67,249,6.39,11.01,13.24
Oryza sativa,28.41,77.27,583,5.29,11.32,1.51
Oryza sativa,30.99,77.54,1419,5.03,10.37,0.0
Oryza sativa,23.85,61.13,1450,5.28,10.35,0.0
Oryza sativa,21.17,73.66,986,6.3,12.41,1.83
Oryza sativa,20.05,93.95,603,5.73,12.96,5.98
Oryza sativa,22.87,99.09,358,5.46,13.51,1.71
Oryza sativa,25.22,73.84,235,6.85,13.65,0.65
Oryza sativa,27.28,94.27,386,7.28,13.79,0.45
Oryza sativa,37.77,76.61,176,6.76,10.08,0.03
Oryza sativa,24.83,79.02,1329,7.39,13.48,0.02
Oryza sativa,31.73,70.23,385,6.81,10.37,0.19
Oryza sativa,23.31,94.88,254,7.26,11.7,1.31
Oryza sativa,34.92,67.35,219,6.98,13.07,0.02
Oryza sativa,22.93,75.15,1134,6.43,13.0,1.55
Oryza sativa,32.33,98.09,645,5.49,11.77,4.67
Oryza sativa,33.65,70.76,821,6.4,11.73,0.86
Oryza sativa,34.21,85.12,581,7.12,10.98,0.66
Oryza sativa,36.58,88.19,747,7.31,10.2,0.02
Oryza sativa,33.93,69.09,658,6.95,10.15,0.02
Oryza sativa,26.59,90.53,26,5.87,10.88,18.8
Oryza sativa,31.24,80.05,794,5.83,13.0,7.85
Oryza sativa,34.41,86.74,424,6.42,10.44,4.11
Oryza sativa,25.38,66.46,264,7.14,13.63,0.02
Oryza sativa,36.3,74.21,1392,5.04,10.59,0.0
Oryza sativa,30.42,67.16,1015,7.21,11.71,0.02
Oryza sativa,36.95,90.63,307,6.92,12.61,0.66
Oryza sativa,21.31,79.33,95,5.34,12.55,0.77
Oryza sativa,20.88,85.74,414,6.35,12.94,15.75
Oryza sativa,32.67,90.76,1435,6.13,10.26,0.52
Oryza sativa,29.01,90.31,1176,6.39,11.04,11.86
Oryza sativa,21.98,76.58,1031,5.23,13.13,0.13
Oryza sativa,29.03,73.97,845,6.04,12.64,6.15
Oryza sativa,33.58,76.58,346,7.46,13.62,0.01
Oryza sativa,34.98,95.32,553,5.14,13.62,0.09
Oryza sativa,31.73,80.05,566,5.34,10.75,1.05
Oryza sativa,36.07,84.66,234,5.59,11.0,0.94
Oryza sativa,27.0,82.72,1399,6.99,11.73,0.72
Oryza sativa,29.57,88.88,1307,6.33,10.65,4.01
Oryza sativa,35.86,85.32,1341,6.86,10.42,0.06
Oryza sativa,28.0,66.43,1389,5.24,12.91,0.0
Oryza sativa,31.51,82.52,458,6.17,12.58,28.61
Oryza sativa,29.0,90.54,70,5.49,10.92,5.7
Oryza sativa,22.16,79.78,926,6.63,11.54,6.04
Oryza sativa,37.19,92.46,401,7.48,12.03,0.02
Oryza sativa,34.34,71.82,482,5.46,12.18,0.25
Oryza sativa,34.29,76.09,496,5.65,10.6,0.6
Oryza sativa,36.53,90.8,1318,5.41,12.33,0.1
Oryza sativa,24.1,72.07,1318,6.1,13.95,0.11
Oryza sativa,29.85,90.84,582,5.1,11.22,1.3
Oryza sativa,25.27,83.01,626,5.8,11.05,22.93
Oryza sativa,20.35,67.47,747,6.78,13.88,0.02
Oryza sativa,36.88,73.29,336,6.39,10.79,0.21
Oryza sativa,27.37,83.85,357,7.15,11.03,2.57
Oryza sativa,31.15,73.19,771,7.21,12.9,0.14
Oryza sativa,33.53,87.97,529,7.1,13.64,0.54
Oryza sativa,26.36,80.85,360,5.21,13.78,0.47
Oryza sativa,36.34,93.77,1072,5.56,10.09,0.09
Oryza sativa,29.06,70.52,896,5.48,12.28,0.52
Oryza sativa,27.98,99.04,774,7.21,12.93,1.12
Oryza sativa,30.24,87.19,1443,5.92,12.21,3.2
Oryza sativa,29.67,66.42,645,5.1,10.56,0.01
Oryza sativa,31.78,72.09,163,6.6,11.98,1.69
Oryza sativa,34.03,84.87,281,7.07,11.49,1.26
Oryza sativa,30.0,99.28,792,7.39,11.0,0.22
Oryza sativa,21.95,78.0,1183,6.93,13.51,0.2
Oryza sativa,22.22,70.14,1028,7.11,10.33,0.02
Oryza sativa,20.56,67.7,604,6.96,10.02,0.01
Oryza sativa,20.85,69.8,984,5.64,11.13,0.16
Oryza sativa,33.04,86.95,1470,5.31,12.85,0.09
Oryza sativa,35.26,81.23,802,5.38,12.7,0.48
Oryza sativa,30.95,86.59,1466,5.22,13.38,0.06
Oryza sativa,24.69,73.91,697,6.77,10.38,0.98
Oryza sativa,27.45,91.17,822,5.26,11.69,4.22
Oryza sativa,32.38,73.0,562,6.44,11.29,2.73
Oryza sativa,26.05,67.4,131,7.25,12.49,0.03
Oryza sativa,25.9,77.26,335,7.09,11.76,2.07
Oryza sativa,33.69,77.47,92,6.27,13.54,1.3
Oryza sativa,31.46,77.17,1383,6.09,12.94,0.8
Oryza sativa,24.43,87.41,506,6.92,12.48,13.57
Oryza sativa,37.16,75.92,331,6.67,12.85,0.27
Oryza sativa,30.98,90.48,1120,5.44,11.33,2.44
Oryza sativa,28.31,67.85,1466,7.17,13.18,0.0
Oryza sativa,31.64,68.28,519,6.05,13.31,0.51
Oryza sativa,32.5,88.98,637,7.38,13.16,0.23
Oryza sativa,27.03,61.62,1141,5.81,11.3,0.02
Oryza sativa,27.12,60.23,1153,7.09,12.64,0.0
Oryza sativa,20.13,70.88,806,5.3,13.52,0.02
Oryza sativa,31.92,80.76,86,6.45,11.71,11.19
Oryza sativa,27.19,97.86,186,5.73,11.3,17.75
Oryza sativa,24.67,82.88,1000,7.27,13.23,0.33
Oryza sativa,30.67,90.18,471,6.31,11.52,56.25
Oryza sativa,22.33,86.45,276,5.43,13.4,2.32
Oryza sativa,37.41,60.97,370,5.75,10.71,0.0
Oryza sativa,33.35,96.25,1336,6.98,12.8,0.26
Oryza sativa,31.21,98.12,1041,7.3,10.61,0.12
Oryza sativa,36.2,88.96,124,5.38,11.61,0.52
Oryza sativa,37.35,67.76,88,6.12,13.49,0.01
Oryza sativa,37.42,60.05,842,6.69,12.58,0.0
Oryza sativa,32.55,88.49,1224,6.36,12.81,4.87
Oryza sativa,32.0,78.38,116,6.8,13.67,0.82
Oryza sativa,31.87,61.38,486,5.86,11.05,0.04
Oryza sativa,34.59,74.9,1098,5.08,11.79,0.02
Oryza sativa,28.25,72.53,1081,5.95,10.73,1.13
Oryza sativa,27.01,65.61,1154,6.12,11.38,0.2
Oryza sativa,25.09,88.35,947,5.84,10.24,6.71
Oryza sativa,29.72,70.12,6,6.95,12.49,0.26
Oryza sativa,32.8,71.25,763,6.52,13.28,0.57
Oryza sativa,24.11,66.82,443,5.14,12.27,0.03
Oryza sativa,26.33,72.08,1204,6.3,11.4,1.38
Oryza sativa,34.86,60.16,950,5.61,10.59,0.0
Oryza sativa,34.2,91.48,377,5.02,13.19,0.12
Oryza sativa,31.46,79.75,1406,6.02,12.85,1.14
Oryza sativa,22.23,76.7,787,5.52,10.03,0.33
Oryza sativa,20.46,63.54,496,5.45,10.58,0.01
Oryza sativa,33.3,70.91,75,5.35,12.4,0.09
Oryza sativa,33.98,78.45,254,5.42,12.59,0.81
Oryza sativa,35.48,92.86,793,5.79,12.23,4.36
Oryza sativa,21.99,83.08,107,6.1,11.02,11.72
Oryza sativa,21.55,78.41,1032,5.35,10.39,0.16
Oryza sativa,34.17,64.41,407,6.08,11.23,0.08
Oryza sativa,36.03,88.05,375,5.14,11.81,0.21
Oryza sativa,36.65,71.2,1160,7.25,10.06,0.0
Oryza sativa,24.52,65.75,415,5.24,12.52,0.04
Oryza sativa,29.57,98.62,319,5.5,12.11,8.9
Oryza sativa,21.14,84.19,879,7.4,13.66,0.05
Oryza sativa,22.86,62.47,1230,5.59,13.01,0.01
Oryza sativa,22.97,81.25,1425,5.89,13.22,0.81
Oryza sativa,37.47,84.82,438,5.89,12.55,1.65
Oryza sativa,31.23,87.49,657,5.64,12.13,18.86
Oryza sativa,24.05,77.9,38,6.76,12.27,4.51
Oryza sativa,36.22,88.32,123,5.22,10.26,0.05
Oryza sativa,25.8,87.65,978,6.94,12.52,7.23
Oryza sativa,35.1,65.83,62,5.66,12.59,0.02
Oryza sativa,22.69,83.72,35,6.7,10.96,5.67
Oryza sativa,21.38,86.47,1488,5.6,11.23,0.39
Oryza sativa,34.01,79.74,1147,5.84,10.42,0.49
Oryza sativa,28.66,73.87,609,5.84,11.19,5.59
Oryza sativa,21.38,64.99,157,7.44,13.93,0.0
Oryza sativa,27.73,87.06,616,7.45,13.35,0.27
Oryza sativa,33.65,87.33,926,5.13,10.88,0.21
Oryza sativa,26.32,95.29,367,7.22,12.85,2.02
Oryza sativa,26.42,95.54,548,7.1,12.3,5.73
Oryza sativa,30.6,63.94,809,6.7,11.96,0.11
Oryza sativa,24.57,95.42,140,5.84,11.44,25.25
Oryza sativa,36.11,90.81,913,5.76,12.54,2.07
Oryza sativa,26.58,83.99,1061,6.51,12.03,20.8
Oryza sativa,34.87,88.8,230,6.21,12.58,9.62
Oryza sativa,36.37,84.39,353,7.08,12.03,0.43
Oryza sativa,25.17,87.31,257,6.49,13.27,24.47
Oryza sativa,34.46,84.31,1238,6.15,11.32,1.96
Oryza sativa,31.03,77.96,517,7.13,10.08,0.21
Oryza sativa,35.85,64.9,1353,5.7,11.05,0.0
Oryza sativa,23.31,85.95,20,5.6,12.88,6.12
Oryza sativa,24.7,73.71,1191,7.07,10.4,0.06
Oryza sativa,32.29,90.29,1024,5.34,13.21,0.86
Oryza sativa,28.02,88.07,26,5.72,11.35,18.46
Oryza sativa,30.18,82.55,827,7.35,13.15,0.27
Oryza sativa,22.45,68.89,152,5.99,11.6,0.88
Oryza sativa,23.37,67.27,611,7.37,12.27,0.02
Oryza sativa,24.26,98.91,1393,5.2,12.53,0.13
Oryza sativa,28.53,81.4,525,7.37,13.41,0.28
Oryza sativa,29.22,74.72,219,5.91,13.1,4.56
Oryza sativa,25.09,62.92,1375,7.02,11.06,0.0
Oryza sativa,27.22,90.71,91,5.29,10.51,1.48
Oryza sativa,23.33,92.12,467,5.53,10.24,3.27
Oryza sativa,26.81,68.94,932,7.17,11.38,0.07
Oryza sativa,24.84,93.19,1295,6.28,12.95,6.86
Oryza sativa,23.42,89.6,785,7.39,13.68,0.15
Oryza sativa,20.17,99.31,150,5.67,10.29,0.79
Oryza sativa,36.52,82.46,429,5.28,12.62,0.21
Oryza sativa,36.07,93.29,1407,5.4,11.23,0.05
Oryza sativa,36.22,71.93,1278,7.34,13.85,0.0
Oryza sativa,36.53,83.15,839,5.01,13.96,0.01
Oryza sativa,32.51,95.98,36,6.14,13.09,8.16
Oryza sativa,26.81,78.39,209,7.01,10.8,1.64
Oryza sativa,21.84,75.33,4,5.59,13.19,0.58
Oryza sativa,25.43,76.4,1124,6.39,10.03,0.83
Oryza sativa,36.27,98.45,652,6.4,13.82,0.61
Oryza sativa,34.26,99.86,1377,7.39,10.69,0.0
Oryza sativa,27.17,73.07,109,7.08,12.54,0.5
Oryza sativa,35.08,65.19,1150,5.54,13.52,0.0
Oryza sativa,34.45,61.3,545,6.86,13.45,0.0
Oryza sativa,21.16,79.45,632,5.55,12.8,2.6
Oryza sativa,29.79,61.91,1102,5.69,11.68,0.02
Oryza sativa,24.69,83.43,927,6.93,12.93,4.21
Oryza sativa,21.26,65.36,1288,6.39,10.05,0.01
Oryza sativa,28.79,67.78,679,6.37,11.09,1.04
Oryza sativa,36.83,89.42,1115,7.14,13.99,0.01
Oryza sativa,29.79,77.63,1334,6.22,13.28,1.18
Oryza sativa,23.96,68.49,430,7.12,12.0,0.14
Oryza sativa,32.12,88.34,974,6.75,10.87,4.44
Oryza sativa,35.43,98.33,509,6.01,12.52,4.93
Oryza sativa,35.99,63.21,1091,5.74,11.74,0.0
Oryza sativa,32.69,70.37,1300,7.2,13.81,0.0
Oryza sativa,28.83,61.0,906,7.44,13.28,0.0
Oryza sativa,22.85,67.82,835,5.66,11.24,0.26
Oryza sativa,36.76,85.85,334,6.12,11.9,3.98
Oryza sativa,35.35,71.71,1352,5.12,13.27,0.0
Oryza sativa,33.2,80.42,757,5.15,12.98,0.24
Oryza sativa,36.73,74.38,722,6.63,11.41,0.31
Oryza sativa,23.3,99.28,307,6.36,13.43,9.95
Oryza sativa,21.33,77.75,1236,5.58,13.05,0.37
Oryza sativa,32.96,88.73,1023,6.74,13.03,3.25
Oryza sativa,33.25,61.28,420,7.13,13.05,0.0
Oryza sativa,37.19,94.02,844,7.49,12.95,0.01
Oryza sativa,26.87,92.79,1378,6.61,12.54,4.34
Oryza sativa,25.74,90.3,365,6.01,13.97,11.39
Oryza sativa,27.25,92.33,892,6.45,13.89,8.11
Oryza sativa,25.62,62.45,709,6.05,10.62,0.08
Oryza sativa,37.12,64.73,606,6.72,12.6,0.01
Oryza sativa,32.79,73.88,1335,5.0,11.21,0.0
Oryza sativa,22.51,76.22,365,5.9,11.98,8.58
Oryza sativa,29.33,72.51,100,5.01,11.25,0.04
Oryza sativa,31.73,87.58,1201,7.02,10.8,0.59
Oryza sativa,30.35,87.67,134,7.44,12.91,0.24
Oryza sativa,31.51,98.39,645,7.37,10.8,0.19
Oryza sativa,35.05,92.53,916,5.56,12.02,2.04
Oryza sativa,25.17,83.07,361,5.83,11.32,29.95
Oryza sativa,34.21,85.75,282,6.7,12.63,5.51
Oryza sativa,29.25,85.88,663,5.63,10.48,7.73
Oryza sativa,27.74,99.19,41,5.44,10.93,2.49
Oryza sativa,35.21,69.84,1105,7.46,11.04,0.0
Oryza sativa,36.87,96.13,1171,6.72,11.32,0.3
Oryza sativa,37.98,72.36,1428,5.53,12.65,0.0
Oryza sativa,27.66,96.2,536,5.41,11.63,9.55
Oryza sativa,26.66,60.98,617,7.28,13.85,0.0
Oryza sativa,29.88,81.1,647,7.27,10.78,0.52
Oryza sativa,22.33,70.96,1236,7.1,10.39,0.01
Oryza sativa,27.44,95.64,837,5.68,11.46,20.43
Oryza sativa,22.67,62.19,842,6.13,11.33,0.07
Oryza sativa,29.32,78.04,480,6.34,10.79,12.59
Oryza sativa,25.35,73.07,669,6.04,10.8,4.0
Oryza sativa,35.93,80.49,189,6.26,12.54,2.59
Oryza sativa,27.59,72.61,199,7.39,13.91,0.01
Oryza sativa,34.77,67.96,1454,5.27,10.76,0.0
Oryza sativa,21.23,73.42,1296,7.18,10.23,0.01
Oryza sativa,21.32,96.83,582,5.15,11.45,0.69
Oryza sativa,21.34,94.39,1332,7.11,11.64,0.26
Oryza sativa,28.54,79.56,401,6.57,10.49,8.0
Oryza sativa,33.24,60.67,1461,6.55,12.42,0.0
Oryza sativa,32.19,92.97,1350,6.15,10.0,0.57
Oryza sativa,32.81,84.78,863,5.23,12.58,0.85
Oryza sativa,31.6,79.27,416,5.99,12.98,11.15
Oryza sativa,22.25,92.03,103,7.23,11.75,1.0
Oryza sativa,28.03,66.21,1033,7.4,11.39,0.0
Oryza sativa,26.61,90.11,1288,6.98,11.97,2.09
Oryza sativa,27.48,90.16,1469,5.97,11.65,4.18
Oryza sativa,32.6,74.63,792,7.27,12.67,0.1
Oryza sativa,36.59,79.35,948,7.46,11.5,0.01
Oryza sativa,30.07,82.25,868,5.51,13.74,1.53
Oryza sativa,22.86,89.88,756,6.59,10.61,11.34
Oryza sativa,21.84,66.19,352,6.05,12.78,0.33
Oryza sativa,21.85,99.68,975,7.27,12.19,0.29
Oryza sativa,29.8,79.94,173,5.29,10.72,0.86
Oryza sativa,37.67,96.99,88,6.2,14.0,0.16
Oryza sativa,30.91,87.65,332,7.3,11.58,1.11
Oryza sativa,34.16,92.03,607,5.0,11.55,0.19
Oryza sativa,28.77,96.03,1177,6.55,10.99,6.67
Oryza sativa,31.21,98.99,1108,5.36,10.63,0.42
Oryza sativa,33.5,87.67,487,5.44,13.91,0.68
Oryza sativa,28.73,92.21,1464,6.01,10.67,1.76
Oryza sativa,24.28,77.14,83,6.8,12.79,2.99
Oryza sativa,27.98,90.26,802,6.43,12.54,53.32
Oryza sativa,21.48,92.8,1448,6.87,12.83,0.38
Oryza sativa,33.46,89.92,706,5.37,12.22,2.69
Oryza sativa,26.75,66.65,651,5.76,10.63,0.28
Oryza sativa,31.92,71.39,433,7.03,12.72,0.27
Oryza sativa,28.32,75.36,186,5.73,11.04,4.11
Oryza sativa,27.87,85.51,223,6.68,10.2,6.26
Oryza sativa,21.88,96.96,1025,5.93,12.06,10.17
Oryza sativa,37.7,82.75,610,5.27,12.75,0.09
Oryza sativa,28.28,63.3,1206,6.93,10.71,0.01
Oryza sativa,31.52,68.1,422,6.95,12.01,0.21
Oryza sativa,29.37,80.37,391,5.34,11.05,2.46
Oryza sativa,28.83,99.04,1262,7.17,10.65,0.16
Oryza sativa,25.94,67.39,393,6.64,13.71,0.22
Oryza sativa,33.71,62.34,1356,7.16,12.67,0.0
Oryza sativa,33.81,84.13,1359,5.24,11.07,0.07
Oryza sativa,26.87,83.95,1403,7.25,11.48,0.16
Oryza sativa,30.58,87.06,72,7.48,12.15,0.21
Oryza sativa,32.23,91.47,843,7.35,12.67,0.38
Oryza sativa,34.95,74.99,242,5.96,11.0,0.97
Oryza sativa,34.11,75.47,662,5.64,11.11,0.93
Oryza sativa,27.01,82.19,191,5.41,12.61,5.56
Oryza sativa,22.5,69.44,568,6.51,12.99,0.88
Oryza sativa,29.68,67.97,277,6.92,10.75,0.14
Oryza sativa,32.21,86.72,707,7.41,10.59,0.13
Oryza sativa,36.08,85.23,491,7.36,11.41,0.08
Oryza sativa,33.9,70.53,1354,7.27,11.63,0.0
Oryza sativa,22.17,83.94,1219,7.46,11.02,0.03
Oryza sativa,28.0,99.0,186,5.07,12.43,0.62
Oryza sativa,25.62,80.68,297,6.18,10.67,17.33
Oryza sativa,27.89,97.85,1480,6.66,11.06,1.0
Oryza sativa,20.64,83.24,1191,5.16,13.88,0.03
Oryza sativa,35.63,70.37,343,6.76,10.44,0.05
Oryza sativa,37.78,69.94,501,7.32,11.89,0.0
Oryza sativa,20.84,87.13,1054,6.28,10.78,5.1
Oryza sativa,25.65,63.11,887,5.64,10.44,0.02
Oryza sativa,27.88,81.23,366,6.11,12.84,34.48
Oryza sativa,22.67,62.04,125,5.2,11.81,0.0
Oryza sativa,34.78,64.88,628,5.09,10.43,0.0
Oryza sativa,35.83,74.11,1384,6.75,11.93,0.04
Oryza sativa,37.22,91.34,471,7.1,10.22,0.06
Oryza sativa,21.3,76.83,255,6.26,12.04,7.66
Oryza sativa,24.55,97.71,1496,6.06,12.97,1.37
Oryza sativa,24.65,71.24,863,7.05,11.17,0.27
Oryza sativa,22.19,82.66,781,6.89,11.53,5.05
Oryza sativa,26.48,92.75,21,6.11,10.55,15.55
Oryza sativa,24.42,66.65,1403,5.34,10.48,0.0
Oryza sativa,24.62,72.58,268,5.76,13.86,0.65
Oryza sativa,27.47,83.77,1170,5.4,11.24,1.83
Oryza sativa,20.39,63.53,171,6.78,10.2,0.01
Oryza sativa,32.48,73.86,841,5.96,12.49,2.62
Oryza sativa,37.13,88.69,464,5.48,10.45,0.24
Oryza sativa,22.78,63.95,603,6.03,11.8,0.25
Oryza sativa,28.84,77.54,924,5.8,12.76,6.89
Oryza sativa,33.33,96.01,1295,7.34,11.42,0.04
Oryza sativa,35.31,82.84,174,6.74,11.95,2.22
Oryza sativa,37.03,76.16,1122,5.27,12.53,0.02
Oryza sativa,27.13,86.37,142,5.72,12.19,29.01
Oryza sativa,28.63,98.3,322,6.03,13.67,10.97
Oryza sativa,22.3,65.88,510,5.64,10.95,0.11
Oryza sativa,28.83,73.54,76,7.39,12.73,0.06
Oryza sativa,24.22,92.7,918,5.65,12.01,16.47
Oryza sativa,31.82,91.9,903,5.44,13.24,2.16
Oryza sativa,37.04,62.07,1105,5.16,11.48,0.0
Oryza sativa,36.24,83.86,177,5.71,11.14,1.22
Oryza sativa,33.69,78.45,995,5.19,11.2,0.13
Oryza sativa,21.35,86.66,542,6.19,10.94,19.09
Oryza sativa,24.35,78.14,954,7.26,11.2,0.31
Oryza sativa,22.82,78.65,687,5.53,10.94,2.63
Oryza sativa,23.45,65.01,1066,6.82,13.44,0.02
Oryza sativa,33.56,66.42,941,6.1,10.21,0.04
Oryza sativa,29.84,89.12,1129,6.33,10.59,7.86
Oryza sativa,33.34,74.47,224,6.97,11.84,0.53
Oryza sativa,22.81,87.54,1393,5.33,10.82,0.21
Oryza sativa,26.65,81.55,536,5.29,10.28,0.97
Oryza sativa,22.37,99.93,983,6.0,13.28,4.43
Oryza sativa,23.81,76.98,224,6.57,10.08,1.58
Oryza sativa,35.25,63.92,1424,7.19,12.5,0.0
Oryza sativa,27.52,70.7,1228,6.44,10.36,0.22
Oryza sativa,33.18,90.05,467,7.09,12.99,1.57
Oryza sativa,36.36,75.85,752,7.19,12.27,0.05
Oryza sativa,22.92,90.63,285,6.53,10.53,12.29
Oryza sativa,36.71,65.37,247,5.73,12.49,0.02
Oryza sativa,26.59,80.23,1415,6.06,12.1,3.21
Oryza sativa,27.22,71.37,736,5.96,11.66,4.37
Oryza sativa,34.28,80.72,1254,5.92,12.24,1.25
Oryza sativa,29.89,81.73,884,6.77,11.76,9.98
Oryza sativa,35.12,66.93,23,5.83,13.39,0.02
Oryza sativa,26.13,62.3,1274,5.83,12.38,0.02
Oryza sativa,37.7,73.25,1128,5.81,13.64,0.01
Oryza sativa,32.65,83.4,1027,7.49,10.02,0.01
Oryza sativa,31.45,85.69,939,5.27,10.11,0.28
Oryza sativa,21.05,62.34,749,5.03,10.45,0.0
Oryza sativa,21.7,99.6,404,7.16,10.46,0.34
Oryza sativa,27.78,61.44,1352,6.35,13.85,0.0
Oryza sativa,27.89,72.99,1364,5.33,10.95,0.05
Oryza sativa,28.87,66.43,355,5.35,12.72,0.09
Oryza sativa,33.21,64.46,587,6.9,11.06,0.02
Oryza sativa,22.37,77.58,910,6.23,13.62,2.42
Oryza sativa,31.99,80.71,995,5.27,12.79,0.52
